src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_iat_min,tot_fwd_pkts,fwd_seg_size_min,target,
192.168.1.253,192.168.40.20,3038,1883,6,23.36502075,0,1,20,0,
192.168.1.16,192.168.40.20,38697,1883,6,54.35943604,0,1,20,0,
192.168.1.7,192.168.40.20,24440,1883,6,79.63180542,0,1,20,0,
192.168.1.168,192.168.40.20,925,1883,6,40.53115845,0,1,20,0,
192.168.1.179,192.168.40.20,44105,1883,6,82.49282837,0,1,20,0,
192.168.1.187,192.168.40.20,14949,1883,6,105.8578491,0,1,20,0,
192.168.1.63,192.168.40.20,26343,1883,6,124.6929169,0,1,20,0,
192.168.1.214,192.168.40.20,56022,1883,6,147.5811005,0,1,20,0,
192.168.1.250,192.168.40.20,4397,1883,6,182.6286316,0,1,20,0,
192.168.1.180,192.168.40.20,59915,1883,6,53.88259888,0,1,20,0,
192.168.1.149,192.168.40.20,39130,1883,6,53.6441803,0,1,20,0,
192.168.1.128,192.168.40.20,64212,1883,6,69.85664368,0,1,20,0,
192.168.1.252,192.168.40.20,24096,1883,6,68.4261322,0,1,20,0,
192.168.1.53,192.168.40.20,24605,1883,6,108.0036163,0,1,20,0,
192.168.1.11,192.168.40.20,24011,1883,6,53.88259888,0,1,20,0,
192.168.1.222,192.168.40.20,28549,1883,6,57.22045898,0,1,20,0,
192.168.1.231,192.168.40.20,50273,1883,6,85.35385132,0,1,20,0,
192.168.1.199,192.168.40.20,51760,1883,6,77.96287537,0,1,20,0,
192.168.1.96,192.168.40.20,57679,1883,6,51.25999451,0,1,20,0,
192.168.1.150,192.168.40.20,39937,1883,6,61.27357483,0,1,20,0,
192.168.1.229,192.168.40.20,27948,1883,6,51.97525024,0,1,20,0,
192.168.1.76,192.168.40.20,34704,1883,6,54.83627319,0,1,20,0,
192.168.1.186,192.168.40.20,13647,1883,6,73.43292236,0,1,20,0,
192.168.1.198,192.168.40.20,23619,1883,6,44.82269287,0,1,20,0,
192.168.1.91,192.168.40.20,9415,1883,6,50.06790161,0,1,20,0,
